
327803.94501, 3,  -3.709,  8.845,  4.987, 4,   0.198, -0.134, -0.304, 5,  -3.700,  2.800, 20.100 ,  0.010000000009313226
  
327803.95502, 3,  -3.766,  8.152,  3.806, 4,  -0.182,  0.332, -0.534, 5,  -3.500,  2.800, 20.200 ,  0.010009999969042838
  
327803.96500, 3,  -3.958,  7.457,  2.832, 4,  -0.446,  0.577, -0.632, 5,  -3.500,  2.800, 20.200 ,  0.009980000031646341
  
327803.97505, 3,  -4.144,  6.877,  2.383, 4,  -0.534,  0.589, -0.555, 5,  -3.400,  2.700, 20.300 ,  0.010049999982584268
  
327803.98500, 3,  -4.304,  6.639,  2.479, 4,  -0.448,  0.455, -0.319, 5,  -3.400,  2.700, 20.300 ,  0.009949999977834523
  
327803.99506, 3,  -4.652,  7.112,  3.102, 4,  -0.258,  0.321, -0.019, 5,  -3.200,  2.700, 20.400 ,  0.01006000000052154
  
327804.00500, 3,  -4.973,  8.133,  3.646, 4,  -0.088,  0.267,  0.208, 5,  -3.200,  2.700, 20.400 ,  0.00994000001810491
  
327804.01501, 3,  -5.022,  8.953,  4.020, 4,  -0.022,  0.340,  0.259, 5,  -3.000,  2.700, 20.500 ,  0.010009999969042838
  
327804.02500, 3,  -4.725,  9.275,  4.071, 4,  -0.196,  0.542,  0.063, 5,  -3.000,  2.700, 20.500 ,  0.009990000049583614
  
327804.03501, 3,  -4.128,  9.044,  3.807, 4,  -0.421,  0.644, -0.103, 5,  -2.800,  2.700, 20.600 ,  0.010009999969042838
  
327804.04499, 3,  -3.494,  8.554,  3.370, 4,  -0.601,  0.667, -0.181, 5,  -2.800,  2.700, 20.600 ,  0.009980000031646341
  
327804.05502, 3,  -3.364,  8.101,  2.993, 4,  -0.664,  0.545, -0.146, 5,  -2.700,  2.600, 20.700 ,  0.010030000004917383
  
327804.06499, 3,  -3.577,  7.707,  2.860, 4,  -0.601,  0.313, -0.053, 5,  -2.700,  2.600, 20.700 ,  0.009969999955501407
  
327804.07500, 3,  -3.932,  7.381,  2.911, 4,  -0.465,  0.109,  0.045, 5,  -2.500,  2.600, 20.900 ,  0.010010000027250499
  
327804.08499, 3,  -4.501,  7.294,  3.039, 4,  -0.367, -0.055,  0.103, 5,  -2.500,  2.600, 20.900 ,  0.009989999991375953
  
327804.09501, 3,  -5.084,  7.482,  3.414, 4,  -0.396, -0.239,  0.119, 5,  -2.400,  2.600, 21.100 ,  0.01001999998698011
  
327804.10500, 3,  -5.368,  7.512,  3.955, 4,  -0.572, -0.463,  0.087, 5,  -2.400,  2.600, 21.100 ,  0.009989999991375953
  
